time,open,high,low,close,Bullish Research Event,Bearish Research Event,FTHC_EventDateKey,FTHC_EventTimestamp,FTHC_Direction,FTHC_ResearchEvent,FTHC_ProductionSignal,FTHC_ReferencePrice,FTHC_C1_Open,FTHC_C1_High,FTHC_C1_Low,FTHC_C1_Close,FTHC_C1_Volume,FTHC_C1_TR,FTHC_C1_VWAP,FTHC_C2_Open,FTHC_C2_High,FTHC_C2_Low,FTHC_C2_Close,FTHC_C2_Volume,FTHC_C2_TR,FTHC_C2_VWAP,FTHC_C1_RelVol,FTHC_C2_RelVol,FTHC_Combined_RelVol,FTHC_ATR_Selected,FTHC_ATR_PrevDaily,FTHC_ATR_PrevDay1M,FTHC_ATR_Prev5Day1M,FTHC_ATR_First2,FTHC_VWAP_Distance,FTHC_DeltaPct,FTHC_PMH,FTHC_PML,FTHC_PM_Open,FTHC_PM_Last,FTHC_PM_Volume,FTHC_AH_High,FTHC_AH_Low,FTHC_AH_Volume,FTHC_PDH,FTHC_PDL,FTHC_PrevRTHClose,FTHC_Outcome_050v050,FTHC_Outcome_100v050,FTHC_MinutesTo_025,FTHC_MinutesTo_050,FTHC_MinutesTo_075,FTHC_MinutesTo_100,FTHC_MinutesTo_Adverse050,FTHC_Final_MFE,FTHC_Final_MAE,FTHC_CP1_MFE,FTHC_CP1_MAE,FTHC_CP2_MFE,FTHC_CP2_MAE,FTHC_CP3_MFE,FTHC_CP3_MAE,FTHC_CP5_MFE,FTHC_CP5_MAE,FTHC_CP10_MFE,FTHC_CP10_MAE,Volume,Volume MA,FTHS_EventDateKey,FTHS_EventTimestamp,FTHS_Direction,FTHS_CP1_PM_State,FTHS_CP1_AH_State,FTHS_CP1_PD_State,FTHS_CP1_LevelsRetained,FTHS_CP1_MinLevelsRetained,FTHS_CP2_PM_State,FTHS_CP2_AH_State,FTHS_CP2_PD_State,FTHS_CP2_LevelsRetained,FTHS_CP2_MinLevelsRetained,FTHS_CP3_PM_State,FTHS_CP3_AH_State,FTHS_CP3_PD_State,FTHS_CP3_LevelsRetained,FTHS_CP3_MinLevelsRetained,FTHS_CP5_PM_State,FTHS_CP5_AH_State,FTHS_CP5_PD_State,FTHS_CP5_LevelsRetained,FTHS_CP5_MinLevelsRetained,FTHS_CP10_PM_State,FTHS_CP10_AH_State,FTHS_CP10_PD_State,FTHS_CP10_LevelsRetained,FTHS_CP10_MinLevelsRetained,FTHS_CP1_PM_Lost,FTHS_CP1_PM_Reclaimed,FTHS_CP1_AH_Lost,FTHS_CP1_AH_Reclaimed,FTHS_CP1_PD_Lost,FTHS_CP1_PD_Reclaimed,FTHS_CP2_PM_Lost,FTHS_CP2_PM_Reclaimed,FTHS_CP2_AH_Lost,FTHS_CP2_AH_Reclaimed,FTHS_CP2_PD_Lost,FTHS_CP2_PD_Reclaimed,FTHS_CP3_PM_Lost,FTHS_CP3_PM_Reclaimed,FTHS_CP3_AH_Lost,FTHS_CP3_AH_Reclaimed,FTHS_CP3_PD_Lost,FTHS_CP3_PD_Reclaimed,FTHS_CP5_PM_Lost,FTHS_CP5_PM_Reclaimed,FTHS_CP5_AH_Lost,FTHS_CP5_AH_Reclaimed,FTHS_CP5_PD_Lost,FTHS_CP5_PD_Reclaimed,FTHS_CP10_PM_Lost,FTHS_CP10_PM_Reclaimed,FTHS_CP10_AH_Lost,FTHS_CP10_AH_Reclaimed,FTHS_CP10_PD_Lost,FTHS_CP10_PD_Reclaimed,FTHV_EventDateKey,FTHV_EventTimestamp,FTHV_Direction,FTHV_CP1_Open,FTHV_CP1_High,FTHV_CP1_Low,FTHV_CP1_Close,FTHV_CP1_RTH_VWAP,FTHV_CP1_VWAP_State,FTHV_CP1_VWAP_Lost,FTHV_CP1_VWAP_Reclaimed,FTHV_CP1_WrongSideCloseCount,FTHV_CP1_MaxWrongSideStreak,FTHV_Has_CP1,FTHV_CP2_Open,FTHV_CP2_High,FTHV_CP2_Low,FTHV_CP2_Close,FTHV_CP2_RTH_VWAP,FTHV_CP2_VWAP_State,FTHV_CP2_VWAP_Lost,FTHV_CP2_VWAP_Reclaimed,FTHV_CP2_WrongSideCloseCount,FTHV_CP2_MaxWrongSideStreak,FTHV_Has_CP2,FTHV_CP3_Open,FTHV_CP3_High,FTHV_CP3_Low,FTHV_CP3_Close,FTHV_CP3_RTH_VWAP,FTHV_CP3_VWAP_State,FTHV_CP3_VWAP_Lost,FTHV_CP3_VWAP_Reclaimed,FTHV_CP3_WrongSideCloseCount,FTHV_CP3_MaxWrongSideStreak,FTHV_Has_CP3,FTHV_CP5_Open,FTHV_CP5_High,FTHV_CP5_Low,FTHV_CP5_Close,FTHV_CP5_RTH_VWAP,FTHV_CP5_VWAP_State,FTHV_CP5_VWAP_Lost,FTHV_CP5_VWAP_Reclaimed,FTHV_CP5_WrongSideCloseCount,FTHV_CP5_MaxWrongSideStreak,FTHV_Has_CP5,FTHV_CP10_Open,FTHV_CP10_High,FTHV_CP10_Low,FTHV_CP10_Close,FTHV_CP10_RTH_VWAP,FTHV_CP10_VWAP_State,FTHV_CP10_VWAP_Lost,FTHV_CP10_VWAP_Reclaimed,FTHV_CP10_WrongSideCloseCount,FTHV_CP10_MaxWrongSideStreak,FTHV_Has_CP10
1780331400,224.67,224.68,224.5,224.64,0,0,20260601,1780320660000,-1,1,1,224.98,228.63,228.83,225,225.605,9258,3.8300000000000125,226.47833333333335,225.38,225.38,223.78,224.98,6868,1.8249999999999886,225.7266267724999,2.2121863799283155,1.579576816927323,1.8898394468533928,0.2196647323111575,6.869016066545531,0.18210526315789477,0.2196647323111575,2.8275000000000006,0.346626772499917,157.79809933663654,230.66,228,230.13,228,10140,231.08,230.41,817,232.31,226.26,231.12,1,1,2,40,47,49,,1.2356653924793322,0.33336296559694195,0.22668681660591652,0,0.3911458796337432,0,0.40003555871632024,0,0.4178149168814996,0,0.4178149168814996,0.0933416303671473,1540,5080.25,20260601,1780320660000,-1,1,1,1,3,3,1,1,1,3,3,1,1,1,3,3,1,1,1,3,3,1,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20260601,1780320660000,-1,224.97,224.97,224.47,224.58,225.52807417471823,1,0,0,0,0,1,224.59,224.65,224.1,224.14,225.46209648997478,1,0,0,0,0,1,224.14,224.4,224.08,224.25,225.36360518904408,1,0,0,0,0,1,224.39,224.49,224.22,224.28,225.11884416754572,1,0,0,0,0,1,224.72,225.13,224.72,225.13,225.00586130877633,0,0,0,0,0,1
1780331700,224.6,224.72,224.41,224.51,0,0,20260601,1780320660000,-1,1,1,224.98,228.63,228.83,225,225.605,9258,3.8300000000000125,226.47833333333335,225.38,225.38,223.78,224.98,6868,1.8249999999999886,225.7266267724999,2.2121863799283155,1.579576816927323,1.8898394468533928,0.2196647323111575,6.869016066545531,0.18210526315789477,0.2196647323111575,2.8275000000000006,0.346626772499917,157.79809933663654,230.66,228,230.13,228,10140,231.08,230.41,817,232.31,226.26,231.12,1,1,2,40,47,49,,1.2356653924793322,0.33336296559694195,0.22668681660591652,0,0.3911458796337432,0,0.40003555871632024,0,0.4178149168814996,0,0.4178149168814996,0.0933416303671473,1242,4954.65,20260601,1780320660000,-1,1,1,1,3,3,1,1,1,3,3,1,1,1,3,3,1,1,1,3,3,1,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20260601,1780320660000,-1,224.97,224.97,224.47,224.58,225.52807417471823,1,0,0,0,0,1,224.59,224.65,224.1,224.14,225.46209648997478,1,0,0,0,0,1,224.14,224.4,224.08,224.25,225.36360518904408,1,0,0,0,0,1,224.39,224.49,224.22,224.28,225.11884416754572,1,0,0,0,0,1,224.72,225.13,224.72,225.13,225.00586130877633,0,0,0,0,0,1
1780332000,224.51,224.6,224.485,224.585,0,0,20260601,1780320660000,-1,1,1,224.98,228.63,228.83,225,225.605,9258,3.8300000000000125,226.47833333333335,225.38,225.38,223.78,224.98,6868,1.8249999999999886,225.7266267724999,2.2121863799283155,1.579576816927323,1.8898394468533928,0.2196647323111575,6.869016066545531,0.18210526315789477,0.2196647323111575,2.8275000000000006,0.346626772499917,157.79809933663654,230.66,228,230.13,228,10140,231.08,230.41,817,232.31,226.26,231.12,1,1,2,40,47,49,,1.2356653924793322,0.33336296559694195,0.22668681660591652,0,0.3911458796337432,0,0.40003555871632024,0,0.4178149168814996,0,0.4178149168814996,0.0933416303671473,1860,4875.15,20260601,1780320660000,-1,1,1,1,3,3,1,1,1,3,3,1,1,1,3,3,1,1,1,3,3,1,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20260601,1780320660000,-1,224.97,224.97,224.47,224.58,225.52807417471823,1,0,0,0,0,1,224.59,224.65,224.1,224.14,225.46209648997478,1,0,0,0,0,1,224.14,224.4,224.08,224.25,225.36360518904408,1,0,0,0,0,1,224.39,224.49,224.22,224.28,225.11884416754572,1,0,0,0,0,1,224.72,225.13,224.72,225.13,225.00586130877633,0,0,0,0,0,1
1780332300,224.62,224.73,224.5,224.7,0,0,20260601,1780320660000,-1,1,1,224.98,228.63,228.83,225,225.605,9258,3.8300000000000125,226.47833333333335,225.38,225.38,223.78,224.98,6868,1.8249999999999886,225.7266267724999,2.2121863799283155,1.579576816927323,1.8898394468533928,0.2196647323111575,6.869016066545531,0.18210526315789477,0.2196647323111575,2.8275000000000006,0.346626772499917,157.79809933663654,230.66,228,230.13,228,10140,231.08,230.41,817,232.31,226.26,231.12,1,1,2,40,47,49,,1.2356653924793322,0.33336296559694195,0.22668681660591652,0,0.3911458796337432,0,0.40003555871632024,0,0.4178149168814996,0,0.4178149168814996,0.0933416303671473,3585,4740.7,20260601,1780320660000,-1,1,1,1,3,3,1,1,1,3,3,1,1,1,3,3,1,1,1,3,3,1,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20260601,1780320660000,-1,224.97,224.97,224.47,224.58,225.52807417471823,1,0,0,0,0,1,224.59,224.65,224.1,224.14,225.46209648997478,1,0,0,0,0,1,224.14,224.4,224.08,224.25,225.36360518904408,1,0,0,0,0,1,224.39,224.49,224.22,224.28,225.11884416754572,1,0,0,0,0,1,224.72,225.13,224.72,225.13,225.00586130877633,0,0,0,0,0,1
1780332600,224.6,225.1,224.28,225.1,0,0,20260601,1780320660000,-1,1,1,224.98,228.63,228.83,225,225.605,9258,3.8300000000000125,226.47833333333335,225.38,225.38,223.78,224.98,6868,1.8249999999999886,225.7266267724999,2.2121863799283155,1.579576816927323,1.8898394468533928,0.2196647323111575,6.869016066545531,0.18210526315789477,0.2196647323111575,2.8275000000000006,0.346626772499917,157.79809933663654,230.66,228,230.13,228,10140,231.08,230.41,817,232.31,226.26,231.12,1,1,2,40,47,49,,1.2356653924793322,0.33336296559694195,0.22668681660591652,0,0.3911458796337432,0,0.40003555871632024,0,0.4178149168814996,0,0.4178149168814996,0.0933416303671473,14466,5345.9,20260601,1780320660000,-1,1,1,1,3,3,1,1,1,3,3,1,1,1,3,3,1,1,1,3,3,1,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20260601,1780320660000,-1,224.97,224.97,224.47,224.58,225.52807417471823,1,0,0,0,0,1,224.59,224.65,224.1,224.14,225.46209648997478,1,0,0,0,0,1,224.14,224.4,224.08,224.25,225.36360518904408,1,0,0,0,0,1,224.39,224.49,224.22,224.28,225.11884416754572,1,0,0,0,0,1,224.72,225.13,224.72,225.13,225.00586130877633,0,0,0,0,0,1
1780332900,225.04,225.04,224.75,224.75,0,0,20260601,1780320660000,-1,1,1,224.98,228.63,228.83,225,225.605,9258,3.8300000000000125,226.47833333333335,225.38,225.38,223.78,224.98,6868,1.8249999999999886,225.7266267724999,2.2121863799283155,1.579576816927323,1.8898394468533928,0.2196647323111575,6.869016066545531,0.18210526315789477,0.2196647323111575,2.8275000000000006,0.346626772499917,157.79809933663654,230.66,228,230.13,228,10140,231.08,230.41,817,232.31,226.26,231.12,1,1,2,40,47,49,,1.2356653924793322,0.33336296559694195,0.22668681660591652,0,0.3911458796337432,0,0.40003555871632024,0,0.4178149168814996,0,0.4178149168814996,0.0933416303671473,1957,5304.25,20260601,1780320660000,-1,1,1,1,3,3,1,1,1,3,3,1,1,1,3,3,1,1,1,3,3,1,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20260601,1780320660000,-1,224.97,224.97,224.47,224.58,225.52807417471823,1,0,0,0,0,1,224.59,224.65,224.1,224.14,225.46209648997478,1,0,0,0,0,1,224.14,224.4,224.08,224.25,225.36360518904408,1,0,0,0,0,1,224.39,224.49,224.22,224.28,225.11884416754572,1,0,0,0,0,1,224.72,225.13,224.72,225.13,225.00586130877633,0,0,0,0,0,1
1780333200,224.74,224.89,224.25,224.28,0,0,20260601,1780320660000,-1,1,1,224.98,228.63,228.83,225,225.605,9258,3.8300000000000125,226.47833333333335,225.38,225.38,223.78,224.98,6868,1.8249999999999886,225.7266267724999,2.2121863799283155,1.579576816927323,1.8898394468533928,0.2196647323111575,6.869016066545531,0.18210526315789477,0.2196647323111575,2.8275000000000006,0.346626772499917,157.79809933663654,230.66,228,230.13,228,10140,231.08,230.41,817,232.31,226.26,231.12,1,1,2,40,47,49,,1.2356653924793322,0.33336296559694195,0.22668681660591652,0,0.3911458796337432,0,0.40003555871632024,0,0.4178149168814996,0,0.4178149168814996,0.0933416303671473,4140,5331.6,20260601,1780320660000,-1,1,1,1,3,3,1,1,1,3,3,1,1,1,3,3,1,1,1,3,3,1,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20260601,1780320660000,-1,224.97,224.97,224.47,224.58,225.52807417471823,1,0,0,0,0,1,224.59,224.65,224.1,224.14,225.46209648997478,1,0,0,0,0,1,224.14,224.4,224.08,224.25,225.36360518904408,1,0,0,0,0,1,224.39,224.49,224.22,224.28,225.11884416754572,1,0,0,0,0,1,224.72,225.13,224.72,225.13,225.00586130877633,0,0,0,0,0,1
1780333500,224.34,224.34,224.12,224.18,0,0,20260601,1780320660000,-1,1,1,224.98,228.63,228.83,225,225.605,9258,3.8300000000000125,226.47833333333335,225.38,225.38,223.78,224.98,6868,1.8249999999999886,225.7266267724999,2.2121863799283155,1.579576816927323,1.8898394468533928,0.2196647323111575,6.869016066545531,0.18210526315789477,0.2196647323111575,2.8275000000000006,0.346626772499917,157.79809933663654,230.66,228,230.13,228,10140,231.08,230.41,817,232.31,226.26,231.12,1,1,2,40,47,49,,1.2356653924793322,0.33336296559694195,0.22668681660591652,0,0.3911458796337432,0,0.40003555871632024,0,0.4178149168814996,0,0.4178149168814996,0.0933416303671473,4893,5314.6,20260601,1780320660000,-1,1,1,1,3,3,1,1,1,3,3,1,1,1,3,3,1,1,1,3,3,1,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20260601,1780320660000,-1,224.97,224.97,224.47,224.58,225.52807417471823,1,0,0,0,0,1,224.59,224.65,224.1,224.14,225.46209648997478,1,0,0,0,0,1,224.14,224.4,224.08,224.25,225.36360518904408,1,0,0,0,0,1,224.39,224.49,224.22,224.28,225.11884416754572,1,0,0,0,0,1,224.72,225.13,224.72,225.13,225.00586130877633,0,0,0,0,0,1
1780333800,224.21,224.295,224.05,224.06,0,0,20260601,1780320660000,-1,1,1,224.98,228.63,228.83,225,225.605,9258,3.8300000000000125,226.47833333333335,225.38,225.38,223.78,224.98,6868,1.8249999999999886,225.7266267724999,2.2121863799283155,1.579576816927323,1.8898394468533928,0.2196647323111575,6.869016066545531,0.18210526315789477,0.2196647323111575,2.8275000000000006,0.346626772499917,157.79809933663654,230.66,228,230.13,228,10140,231.08,230.41,817,232.31,226.26,231.12,1,1,2,40,47,49,,1.2356653924793322,0.33336296559694195,0.22668681660591652,0,0.3911458796337432,0,0.40003555871632024,0,0.4178149168814996,0,0.4178149168814996,0.0933416303671473,3721,4855.8,20260601,1780320660000,-1,1,1,1,3,3,1,1,1,3,3,1,1,1,3,3,1,1,1,3,3,1,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20260601,1780320660000,-1,224.97,224.97,224.47,224.58,225.52807417471823,1,0,0,0,0,1,224.59,224.65,224.1,224.14,225.46209648997478,1,0,0,0,0,1,224.14,224.4,224.08,224.25,225.36360518904408,1,0,0,0,0,1,224.39,224.49,224.22,224.28,225.11884416754572,1,0,0,0,0,1,224.72,225.13,224.72,225.13,225.00586130877633,0,0,0,0,0,1
1780334100,224.09,224.31,224.04,224.25,0,0,20260601,1780320660000,-1,1,1,224.98,228.63,228.83,225,225.605,9258,3.8300000000000125,226.47833333333335,225.38,225.38,223.78,224.98,6868,1.8249999999999886,225.7266267724999,2.2121863799283155,1.579576816927323,1.8898394468533928,0.2196647323111575,6.869016066545531,0.18210526315789477,0.2196647323111575,2.8275000000000006,0.346626772499917,157.79809933663654,230.66,228,230.13,228,10140,231.08,230.41,817,232.31,226.26,231.12,1,1,2,40,47,49,,1.2356653924793322,0.33336296559694195,0.22668681660591652,0,0.3911458796337432,0,0.40003555871632024,0,0.4178149168814996,0,0.4178149168814996,0.0933416303671473,3011,4611.7,20260601,1780320660000,-1,1,1,1,3,3,1,1,1,3,3,1,1,1,3,3,1,1,1,3,3,1,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20260601,1780320660000,-1,224.97,224.97,224.47,224.58,225.52807417471823,1,0,0,0,0,1,224.59,224.65,224.1,224.14,225.46209648997478,1,0,0,0,0,1,224.14,224.4,224.08,224.25,225.36360518904408,1,0,0,0,0,1,224.39,224.49,224.22,224.28,225.11884416754572,1,0,0,0,0,1,224.72,225.13,224.72,225.13,225.00586130877633,0,0,0,0,0,1
1780334400,224.34,224.52,224.34,224.39,0,0,20260601,1780320660000,-1,1,1,224.98,228.63,228.83,225,225.605,9258,3.8300000000000125,226.47833333333335,225.38,225.38,223.78,224.98,6868,1.8249999999999886,225.7266267724999,2.2121863799283155,1.579576816927323,1.8898394468533928,0.2196647323111575,6.869016066545531,0.18210526315789477,0.2196647323111575,2.8275000000000006,0.346626772499917,157.79809933663654,230.66,228,230.13,228,10140,231.08,230.41,817,232.31,226.26,231.12,1,1,2,40,47,49,,1.2356653924793322,0.33336296559694195,0.22668681660591652,0,0.3911458796337432,0,0.40003555871632024,0,0.4178149168814996,0,0.4178149168814996,0.0933416303671473,1703,4560.25,20260601,1780320660000,-1,1,1,1,3,3,1,1,1,3,3,1,1,1,3,3,1,1,1,3,3,1,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20260601,1780320660000,-1,224.97,224.97,224.47,224.58,225.52807417471823,1,0,0,0,0,1,224.59,224.65,224.1,224.14,225.46209648997478,1,0,0,0,0,1,224.14,224.4,224.08,224.25,225.36360518904408,1,0,0,0,0,1,224.39,224.49,224.22,224.28,225.11884416754572,1,0,0,0,0,1,224.72,225.13,224.72,225.13,225.00586130877633,0,0,0,0,0,1
1780334700,224.39,225.05,224.38,224.7,0,0,20260601,1780320660000,-1,1,1,224.98,228.63,228.83,225,225.605,9258,3.8300000000000125,226.47833333333335,225.38,225.38,223.78,224.98,6868,1.8249999999999886,225.7266267724999,2.2121863799283155,1.579576816927323,1.8898394468533928,0.2196647323111575,6.869016066545531,0.18210526315789477,0.2196647323111575,2.8275000000000006,0.346626772499917,157.79809933663654,230.66,228,230.13,228,10140,231.08,230.41,817,232.31,226.26,231.12,1,1,2,40,47,49,,1.2356653924793322,0.33336296559694195,0.22668681660591652,0,0.3911458796337432,0,0.40003555871632024,0,0.4178149168814996,0,0.4178149168814996,0.0933416303671473,6723,4623.8,20260601,1780320660000,-1,1,1,1,3,3,1,1,1,3,3,1,1,1,3,3,1,1,1,3,3,1,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20260601,1780320660000,-1,224.97,224.97,224.47,224.58,225.52807417471823,1,0,0,0,0,1,224.59,224.65,224.1,224.14,225.46209648997478,1,0,0,0,0,1,224.14,224.4,224.08,224.25,225.36360518904408,1,0,0,0,0,1,224.39,224.49,224.22,224.28,225.11884416754572,1,0,0,0,0,1,224.72,225.13,224.72,225.13,225.00586130877633,0,0,0,0,0,1
1780335000,224.73,225.16,224.52,224.52,0,0,20260601,1780320660000,-1,1,1,224.98,228.63,228.83,225,225.605,9258,3.8300000000000125,226.47833333333335,225.38,225.38,223.78,224.98,6868,1.8249999999999886,225.7266267724999,2.2121863799283155,1.579576816927323,1.8898394468533928,0.2196647323111575,6.869016066545531,0.18210526315789477,0.2196647323111575,2.8275000000000006,0.346626772499917,157.79809933663654,230.66,228,230.13,228,10140,231.08,230.41,817,232.31,226.26,231.12,1,1,2,40,47,49,,1.2356653924793322,0.33336296559694195,0.22668681660591652,0,0.3911458796337432,0,0.40003555871632024,0,0.4178149168814996,0,0.4178149168814996,0.0933416303671473,4578,4629.55,20260601,1780320660000,-1,1,1,1,3,3,1,1,1,3,3,1,1,1,3,3,1,1,1,3,3,1,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20260601,1780320660000,-1,224.97,224.97,224.47,224.58,225.52807417471823,1,0,0,0,0,1,224.59,224.65,224.1,224.14,225.46209648997478,1,0,0,0,0,1,224.14,224.4,224.08,224.25,225.36360518904408,1,0,0,0,0,1,224.39,224.49,224.22,224.28,225.11884416754572,1,0,0,0,0,1,224.72,225.13,224.72,225.13,225.00586130877633,0,0,0,0,0,1
1780335300,224.49,224.65,224.37,224.54,0,0,20260601,1780320660000,-1,1,1,224.98,228.63,228.83,225,225.605,9258,3.8300000000000125,226.47833333333335,225.38,225.38,223.78,224.98,6868,1.8249999999999886,225.7266267724999,2.2121863799283155,1.579576816927323,1.8898394468533928,0.2196647323111575,6.869016066545531,0.18210526315789477,0.2196647323111575,2.8275000000000006,0.346626772499917,157.79809933663654,230.66,228,230.13,228,10140,231.08,230.41,817,232.31,226.26,231.12,1,1,2,40,47,49,,1.2356653924793322,0.33336296559694195,0.22668681660591652,0,0.3911458796337432,0,0.40003555871632024,0,0.4178149168814996,0,0.4178149168814996,0.0933416303671473,2577,4574.8,20260601,1780320660000,-1,1,1,1,3,3,1,1,1,3,3,1,1,1,3,3,1,1,1,3,3,1,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20260601,1780320660000,-1,224.97,224.97,224.47,224.58,225.52807417471823,1,0,0,0,0,1,224.59,224.65,224.1,224.14,225.46209648997478,1,0,0,0,0,1,224.14,224.4,224.08,224.25,225.36360518904408,1,0,0,0,0,1,224.39,224.49,224.22,224.28,225.11884416754572,1,0,0,0,0,1,224.72,225.13,224.72,225.13,225.00586130877633,0,0,0,0,0,1
1780335600,224.53,225.1,224.42,224.61,0,0,20260601,1780320660000,-1,1,1,224.98,228.63,228.83,225,225.605,9258,3.8300000000000125,226.47833333333335,225.38,225.38,223.78,224.98,6868,1.8249999999999886,225.7266267724999,2.2121863799283155,1.579576816927323,1.8898394468533928,0.2196647323111575,6.869016066545531,0.18210526315789477,0.2196647323111575,2.8275000000000006,0.346626772499917,157.79809933663654,230.66,228,230.13,228,10140,231.08,230.41,817,232.31,226.26,231.12,1,1,2,40,47,49,,1.2356653924793322,0.33336296559694195,0.22668681660591652,0,0.3911458796337432,0,0.40003555871632024,0,0.4178149168814996,0,0.4178149168814996,0.0933416303671473,5441,4408.6,20260601,1780320660000,-1,1,1,1,3,3,1,1,1,3,3,1,1,1,3,3,1,1,1,3,3,1,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20260601,1780320660000,-1,224.97,224.97,224.47,224.58,225.52807417471823,1,0,0,0,0,1,224.59,224.65,224.1,224.14,225.46209648997478,1,0,0,0,0,1,224.14,224.4,224.08,224.25,225.36360518904408,1,0,0,0,0,1,224.39,224.49,224.22,224.28,225.11884416754572,1,0,0,0,0,1,224.72,225.13,224.72,225.13,225.00586130877633,0,0,0,0,0,1
1780335900,224.76,224.98,224.64,224.67,0,0,20260601,1780320660000,-1,1,1,224.98,228.63,228.83,225,225.605,9258,3.8300000000000125,226.47833333333335,225.38,225.38,223.78,224.98,6868,1.8249999999999886,225.7266267724999,2.2121863799283155,1.579576816927323,1.8898394468533928,0.2196647323111575,6.869016066545531,0.18210526315789477,0.2196647323111575,2.8275000000000006,0.346626772499917,157.79809933663654,230.66,228,230.13,228,10140,231.08,230.41,817,232.31,226.26,231.12,1,1,2,40,47,49,,1.2356653924793322,0.33336296559694195,0.22668681660591652,0,0.3911458796337432,0,0.40003555871632024,0,0.4178149168814996,0,0.4178149168814996,0.0933416303671473,1707,3918,20260601,1780320660000,-1,1,1,1,3,3,1,1,1,3,3,1,1,1,3,3,1,1,1,3,3,1,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20260601,1780320660000,-1,224.97,224.97,224.47,224.58,225.52807417471823,1,0,0,0,0,1,224.59,224.65,224.1,224.14,225.46209648997478,1,0,0,0,0,1,224.14,224.4,224.08,224.25,225.36360518904408,1,0,0,0,0,1,224.39,224.49,224.22,224.28,225.11884416754572,1,0,0,0,0,1,224.72,225.13,224.72,225.13,225.00586130877633,0,0,0,0,0,1
1780336200,224.61,224.63,224.49,224.49,0,0,20260601,1780320660000,-1,1,1,224.98,228.63,228.83,225,225.605,9258,3.8300000000000125,226.47833333333335,225.38,225.38,223.78,224.98,6868,1.8249999999999886,225.7266267724999,2.2121863799283155,1.579576816927323,1.8898394468533928,0.2196647323111575,6.869016066545531,0.18210526315789477,0.2196647323111575,2.8275000000000006,0.346626772499917,157.79809933663654,230.66,228,230.13,228,10140,231.08,230.41,817,232.31,226.26,231.12,1,1,2,40,47,49,,1.2356653924793322,0.33336296559694195,0.22668681660591652,0,0.3911458796337432,0,0.40003555871632024,0,0.4178149168814996,0,0.4178149168814996,0.0933416303671473,933,3770.6,20260601,1780320660000,-1,1,1,1,3,3,1,1,1,3,3,1,1,1,3,3,1,1,1,3,3,1,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20260601,1780320660000,-1,224.97,224.97,224.47,224.58,225.52807417471823,1,0,0,0,0,1,224.59,224.65,224.1,224.14,225.46209648997478,1,0,0,0,0,1,224.14,224.4,224.08,224.25,225.36360518904408,1,0,0,0,0,1,224.39,224.49,224.22,224.28,225.11884416754572,1,0,0,0,0,1,224.72,225.13,224.72,225.13,225.00586130877633,0,0,0,0,0,1
